gene,essential,comment
PA14_04900,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04910,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04920,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04930,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04940,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04950,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04960,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04970,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04980,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05000,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05010,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05020,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05030,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05040,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05050,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05060,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05070,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05080,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05110,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05120,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05130,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05150,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05160,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05180,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05190,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05200,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05210,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05220,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05230,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05250,no,"Manoil and Ausubel Overlap, 2005, LB"
PA14_05260,no,"Manoil and Ausubel Overlap, 2005, LB"
