gene,essential,comment
PA14_17960,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_17980,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18010,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18120,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18140,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18150,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18250,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18260,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18275,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18300,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18380,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18410,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18430,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18450,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18480,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18500,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18510,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18520,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18550,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18565,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18580,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18600,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18610,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18710,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18740,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18750,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_18970,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19050,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19090,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19100,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19110,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19130,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19140,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19190,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19350,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19370,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19400,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19470,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19500,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19510,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19520,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19570,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19580,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19630,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19770,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19870,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19900,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_19910,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20140,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20200,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20270,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20300,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20320,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20330,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20400,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20420,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20560,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20650,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20670,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_20950,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21140,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21150,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21160,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21175,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21340,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21370,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21410,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21910,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21920,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21930,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_21960,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22000,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22050,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22350,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22620,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22690,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22890,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22910,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22930,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22980,no,"Manoil and Ausubel Overlap, 2005, LB met"
PA14_22990,no,"Manoil and Ausubel Overlap, 2005, LB met"
